
============================================================
  Análisis léxico de: manual_cases/input/high_massive.txt
============================================================

  TOKEN                   LEXEMA                  POSICIÓN
  T_FLOAT                 'float'                 L361:C5
  ID                      'z'                     L361:C11
  ASSIGN                  '='                     L361:C13
  FLOAT_LIT               '1.5'                   L361:C15
  SEMI                    ';'                     L361:C18
  FOR                     'for'                   L363:C5
  LPAREN                  '('                     L363:C9
  T_INT                   'int'                   L363:C10
  ID                      'i'                     L363:C14
  ASSIGN                  '='                     L363:C16
  INT_LIT                 '0'                     L363:C18
  SEMI                    ';'                     L363:C19
  ID                      'i'                     L363:C21
  LT                      '<'                     L363:C23
  INT_LIT                 '10'                    L363:C25
  SEMI                    ';'                     L363:C27
  ID                      'i'                     L363:C29
  INC                     '++'                    L363:C30
  RPAREN                  ')'                     L363:C32
  LBRACE                  '{'                     L363:C34
  ID                      'arr'                   L364:C9
  LBRACKET                '['                     L364:C12
  ID                      'i'                     L364:C13
  RBRACKET                ']'                     L364:C14
  ASSIGN                  '='                     L364:C16
  ID                      'i'                     L364:C18
  TIMES                   '*'                     L364:C20
  INT_LIT                 '2'                     L364:C22
  SEMI                    ';'                     L364:C23
  ID                      'counter'               L365:C9
  INC                     '++'                    L365:C16
  SEMI                    ';'                     L365:C18
  RBRACE                  '}'                     L366:C5
  IF                      'if'                    L368:C5
  LPAREN                  '('                     L368:C8
  ID                      'x'                     L368:C9
  EQ                      '=='                    L368:C11
  ID                      'y'                     L368:C14
  OR                      '||'                    L368:C16
  ID                      'x'                     L368:C19
  NEQ                     '!='                    L368:C21
  INT_LIT                 '0'                     L368:C24
  RPAREN                  ')'                     L368:C25
  LBRACE                  '{'                     L368:C27
  ID                      'x'                     L369:C9
  PLUS_ASSIGN             '+='                    L369:C11
  INT_LIT                 '10'                    L369:C14
  SEMI                    ';'                     L369:C16
  ID                      'y'                     L370:C9
  MINUS_ASSIGN            '-='                    L370:C11
  INT_LIT                 '5'                     L370:C14
  SEMI                    ';'                     L370:C15
  RBRACE                  '}'                     L371:C5
  ELSE                    'else'                  L371:C7
  LBRACE                  '{'                     L371:C12
  ID                      'x'                     L372:C9
  TIMES_ASSIGN            '*='                    L372:C11
  INT_LIT                 '2'                     L372:C14
  SEMI                    ';'                     L372:C15
  ID                      'y'                     L373:C9
  DIV_ASSIGN              '/='                    L373:C11
  INT_LIT                 '3'                     L373:C14
  SEMI                    ';'                     L373:C15
  RBRACE                  '}'                     L374:C5
  WHILE                   'while'                 L376:C5
  LPAREN                  '('                     L376:C11
  ID                      'y'                     L376:C12
  GT                      '>'                     L376:C14
  INT_LIT                 '0'                     L376:C16
  AND                     '&&'                    L376:C18
  ID                      'x'                     L376:C21
  LT                      '<'                     L376:C23
  INT_LIT                 '100'                   L376:C25
  RPAREN                  ')'                     L376:C28
  LBRACE                  '{'                     L376:C30
  ID                      'y'                     L377:C9
  DEC                     '--'                    L377:C10
  SEMI                    ';'                     L377:C12
  ID                      'x'                     L378:C9
  INC                     '++'                    L378:C10
  SEMI                    ';'                     L378:C12
  IF                      'if'                    L379:C9
  LPAREN                  '('                     L379:C12
  ID                      'y'                     L379:C13
  MOD                     '%'                     L379:C15
  INT_LIT                 '2'                     L379:C17
  EQ                      '=='                    L379:C19
  INT_LIT                 '0'                     L379:C22
  RPAREN                  ')'                     L379:C23
  LBRACE                  '{'                     L379:C25
  CONTINUE                'continue'              L380:C13
  SEMI                    ';'                     L380:C21
  RBRACE                  '}'                     L381:C9
  IF                      'if'                    L382:C9
  LPAREN                  '('                     L382:C12
  ID                      'x'                     L382:C13
  GT                      '>'                     L382:C15
  INT_LIT                 '50'                    L382:C17
  RPAREN                  ')'                     L382:C19
  LBRACE                  '{'                     L382:C21
  BREAK                   'break'                 L383:C13
  SEMI                    ';'                     L383:C18
  RBRACE                  '}'                     L384:C9
  RBRACE                  '}'                     L385:C5
  T_INT                   'int'                   L387:C5
  ID                      'result'                L387:C9
  ASSIGN                  '='                     L387:C16
  ID                      'factorial'             L387:C18
  LPAREN                  '('                     L387:C27
  INT_LIT                 '5'                     L387:C28
  RPAREN                  ')'                     L387:C29
  SEMI                    ';'                     L387:C30
  ID                      'Point'                 L388:C5
  ID                      'p'                     L388:C11
  SEMI                    ';'                     L388:C12
  ID                      'p'                     L389:C5
  DOT                     '.'                     L389:C6
  ID                      'x'                     L389:C7
  ASSIGN                  '='                     L389:C9
  ID                      'result'                L389:C11
  SEMI                    ';'                     L389:C17
  ID                      'p'                     L390:C5
  DOT                     '.'                     L390:C6
  ID                      'y'                     L390:C7
  ASSIGN                  '='                     L390:C9
  ID                      'counter'               L390:C11
  SEMI                    ';'                     L390:C18
  ID                      'bool'                  L392:C5
  ID                      'flag'                  L392:C10
  ASSIGN                  '='                     L392:C15
  TRUE                    'true'                  L392:C17
  SEMI                    ';'                     L392:C21
  IF                      'if'                    L393:C5
  LPAREN                  '('                     L393:C8
  NOT                     '!'                     L393:C9
  ID                      'flag'                  L393:C10
  OR                      '||'                    L393:C15
  ID                      'result'                L393:C18
  EQ                      '=='                    L393:C25
  NULL_KW                 'null'                  L393:C28
  RPAREN                  ')'                     L393:C32
  LBRACE                  '{'                     L393:C34
  RETURN                  'return'                L394:C9
  INT_LIT                 '0'                     L394:C16
  SEMI                    ';'                     L394:C17
  RBRACE                  '}'                     L395:C5
  T_INT                   'int'                   L397:C5
  ID                      'shifted'               L397:C9
  ASSIGN                  '='                     L397:C17
  ID                      'x'                     L397:C19
  LSHIFT                  '<<'                    L397:C21
  INT_LIT                 '2'                     L397:C24
  SEMI                    ';'                     L397:C25
  ID                      'shifted'               L398:C5
  ASSIGN                  '='                     L398:C13
  ID                      'shifted'               L398:C15
  RSHIFT                  '>>'                    L398:C23
  INT_LIT                 '1'                     L398:C26
  SEMI                    ';'                     L398:C27
  RETURN                  'return'                L400:C5
  ID                      'result'                L400:C12
  SEMI                    ';'                     L400:C18
  RBRACE                  '}'                     L401:C1
  STRUCT                  'struct'                L403:C1
  ID                      'Point'                 L403:C8
  LBRACE                  '{'                     L403:C14
  T_INT                   'int'                   L404:C5
  ID                      'x'                     L404:C9
  SEMI                    ';'                     L404:C10
  T_INT                   'int'                   L405:C5
  ID                      'y'                     L405:C9
  SEMI                    ';'                     L405:C10
  RBRACE                  '}'                     L406:C1
  SEMI                    ';'                     L406:C2
  CONST                   'const'                 L408:C1
  T_FLOAT                 'float'                 L408:C7
  ID                      'PI'                    L408:C13
  ASSIGN                  '='                     L408:C16
  FLOAT_LIT               '3.14'                  L408:C18
  SEMI                    ';'                     L408:C22
  T_INT                   'int'                   L409:C1
  ID                      'counter'               L409:C5
  ASSIGN                  '='                     L409:C13
  INT_LIT                 '0'                     L409:C15
  SEMI                    ';'                     L409:C16
  T_INT                   'int'                   L410:C1
  ID                      'arr'                   L410:C5
  LBRACKET                '['                     L410:C8
  INT_LIT                 '10'                    L410:C9
  RBRACKET                ']'                     L410:C11
  SEMI                    ';'                     L410:C12
  T_VOID                  'void'                  L412:C1
  ID                      'swap'                  L412:C6
  LPAREN                  '('                     L412:C10
  T_INT                   'int'                   L412:C11
  ID                      'a'                     L412:C15
  COMMA                   ','                     L412:C16
  T_INT                   'int'                   L412:C18
  ID                      'b'                     L412:C22
  RPAREN                  ')'                     L412:C23
  LBRACE                  '{'                     L412:C25
  T_INT                   'int'                   L413:C5
  ID                      'temp'                  L413:C9
  ASSIGN                  '='                     L413:C14
  ID                      'a'                     L413:C16
  SEMI                    ';'                     L413:C17
  ID                      'a'                     L414:C5
  ASSIGN                  '='                     L414:C7
  ID                      'b'                     L414:C9
  SEMI                    ';'                     L414:C10
  ID                      'b'                     L415:C5
  ASSIGN                  '='                     L415:C7
  ID                      'temp'                  L415:C9
  SEMI                    ';'                     L415:C13
  RBRACE                  '}'                     L416:C1
  T_INT                   'int'                   L418:C1
  ID                      'factorial'             L418:C5
  LPAREN                  '('                     L418:C14
  T_INT                   'int'                   L418:C15
  ID                      'n'                     L418:C19
  RPAREN                  ')'                     L418:C20
  LBRACE                  '{'                     L418:C22
  IF                      'if'                    L419:C5
  LPAREN                  '('                     L419:C8
  ID                      'n'                     L419:C9
  LEQ                     '<='                    L419:C11
  INT_LIT                 '1'                     L419:C14
  RPAREN                  ')'                     L419:C15
  LBRACE                  '{'                     L419:C17
  RETURN                  'return'                L420:C9
  INT_LIT                 '1'                     L420:C16
  SEMI                    ';'                     L420:C17
  RBRACE                  '}'                     L421:C5
  RETURN                  'return'                L422:C5
  ID                      'n'                     L422:C12
  TIMES                   '*'                     L422:C14
  ID                      'factorial'             L422:C16
  LPAREN                  '('                     L422:C25
  ID                      'n'                     L422:C26
  MINUS                   '-'                     L422:C28
  INT_LIT                 '1'                     L422:C30
  RPAREN                  ')'                     L422:C31
  SEMI                    ';'                     L422:C32
  RBRACE                  '}'                     L423:C1
  T_INT                   'int'                   L425:C1
  ID                      'main'                  L425:C5
  LPAREN                  '('                     L425:C9
  RPAREN                  ')'                     L425:C10
  LBRACE                  '{'                     L425:C12
  T_INT                   'int'                   L426:C5
  ID                      'x'                     L426:C9
  ASSIGN                  '='                     L426:C11
  HEX_LIT                 '0xFF'                  L426:C13
  SEMI                    ';'                     L426:C17
  T_INT                   'int'                   L427:C5
  ID                      'y'                     L427:C9
  ASSIGN                  '='                     L427:C11
  INT_LIT                 '42'                    L427:C13
  SEMI                    ';'                     L427:C15
  T_FLOAT                 'float'                 L428:C5
  ID                      'z'                     L428:C11
  ASSIGN                  '='                     L428:C13
  FLOAT_LIT               '1.5'                   L428:C15
  SEMI                    ';'                     L428:C18
  FOR                     'for'                   L430:C5
  LPAREN                  '('                     L430:C9
  T_INT                   'int'                   L430:C10
  ID                      'i'                     L430:C14
  ASSIGN                  '='                     L430:C16
  INT_LIT                 '0'                     L430:C18
  SEMI                    ';'                     L430:C19
  ID                      'i'                     L430:C21
  LT                      '<'                     L430:C23
  INT_LIT                 '10'                    L430:C25
  SEMI                    ';'                     L430:C27
  ID                      'i'                     L430:C29
  INC                     '++'                    L430:C30
  RPAREN                  ')'                     L430:C32
  LBRACE                  '{'                     L430:C34
  ID                      'arr'                   L431:C9
  LBRACKET                '['                     L431:C12
  ID                      'i'                     L431:C13
  RBRACKET                ']'                     L431:C14
  ASSIGN                  '='                     L431:C16
  ID                      'i'                     L431:C18
  TIMES                   '*'                     L431:C20
  INT_LIT                 '2'                     L431:C22
  SEMI                    ';'                     L431:C23
  ID                      'counter'               L432:C9
  INC                     '++'                    L432:C16
  SEMI                    ';'                     L432:C18
  RBRACE                  '}'                     L433:C5
  IF                      'if'                    L435:C5
  LPAREN                  '('                     L435:C8
  ID                      'x'                     L435:C9
  EQ                      '=='                    L435:C11
  ID                      'y'                     L435:C14
  OR                      '||'                    L435:C16
  ID                      'x'                     L435:C19
  NEQ                     '!='                    L435:C21
  INT_LIT                 '0'                     L435:C24
  RPAREN                  ')'                     L435:C25
  LBRACE                  '{'                     L435:C27
  ID                      'x'                     L436:C9
  PLUS_ASSIGN             '+='                    L436:C11
  INT_LIT                 '10'                    L436:C14
  SEMI                    ';'                     L436:C16
  ID                      'y'                     L437:C9
  MINUS_ASSIGN            '-='                    L437:C11
  INT_LIT                 '5'                     L437:C14
  SEMI                    ';'                     L437:C15
  RBRACE                  '}'                     L438:C5
  ELSE                    'else'                  L438:C7
  LBRACE                  '{'                     L438:C12
  ID                      'x'                     L439:C9
  TIMES_ASSIGN            '*='                    L439:C11
  INT_LIT                 '2'                     L439:C14
  SEMI                    ';'                     L439:C15
  ID                      'y'                     L440:C9
  DIV_ASSIGN              '/='                    L440:C11
  INT_LIT                 '3'                     L440:C14
  SEMI                    ';'                     L440:C15
  RBRACE                  '}'                     L441:C5
  WHILE                   'while'                 L443:C5
  LPAREN                  '('                     L443:C11
  ID                      'y'                     L443:C12
  GT                      '>'                     L443:C14
  INT_LIT                 '0'                     L443:C16
  AND                     '&&'                    L443:C18
  ID                      'x'                     L443:C21
  LT                      '<'                     L443:C23
  INT_LIT                 '100'                   L443:C25
  RPAREN                  ')'                     L443:C28
  LBRACE                  '{'                     L443:C30
  ID                      'y'                     L444:C9
  DEC                     '--'                    L444:C10
  SEMI                    ';'                     L444:C12
  ID                      'x'                     L445:C9
  INC                     '++'                    L445:C10
  SEMI                    ';'                     L445:C12
  IF                      'if'                    L446:C9
  LPAREN                  '('                     L446:C12
  ID                      'y'                     L446:C13
  MOD                     '%'                     L446:C15
  INT_LIT                 '2'                     L446:C17
  EQ                      '=='                    L446:C19
  INT_LIT                 '0'                     L446:C22
  RPAREN                  ')'                     L446:C23
  LBRACE                  '{'                     L446:C25
  CONTINUE                'continue'              L447:C13
  SEMI                    ';'                     L447:C21
  RBRACE                  '}'                     L448:C9
  IF                      'if'                    L449:C9
  LPAREN                  '('                     L449:C12
  ID                      'x'                     L449:C13
  GT                      '>'                     L449:C15
  INT_LIT                 '50'                    L449:C17
  RPAREN                  ')'                     L449:C19
  LBRACE                  '{'                     L449:C21
  BREAK                   'break'                 L450:C13
  SEMI                    ';'                     L450:C18
  RBRACE                  '}'                     L451:C9
  RBRACE                  '}'                     L452:C5
  T_INT                   'int'                   L454:C5
  ID                      'result'                L454:C9
  ASSIGN                  '='                     L454:C16
  ID                      'factorial'             L454:C18
  LPAREN                  '('                     L454:C27
  INT_LIT                 '5'                     L454:C28
  RPAREN                  ')'                     L454:C29
  SEMI                    ';'                     L454:C30
  ID                      'Point'                 L455:C5
  ID                      'p'                     L455:C11
  SEMI                    ';'                     L455:C12
  ID                      'p'                     L456:C5
  DOT                     '.'                     L456:C6
  ID                      'x'                     L456:C7
  ASSIGN                  '='                     L456:C9
  ID                      'result'                L456:C11
  SEMI                    ';'                     L456:C17
  ID                      'p'                     L457:C5
  DOT                     '.'                     L457:C6
  ID                      'y'                     L457:C7
  ASSIGN                  '='                     L457:C9
  ID                      'counter'               L457:C11
  SEMI                    ';'                     L457:C18
  ID                      'bool'                  L459:C5
  ID                      'flag'                  L459:C10
  ASSIGN                  '='                     L459:C15
  TRUE                    'true'                  L459:C17
  SEMI                    ';'                     L459:C21
  IF                      'if'                    L460:C5
  LPAREN                  '('                     L460:C8
  NOT                     '!'                     L460:C9
  ID                      'flag'                  L460:C10
  OR                      '||'                    L460:C15
  ID                      'result'                L460:C18
  EQ                      '=='                    L460:C25
  NULL_KW                 'null'                  L460:C28
  RPAREN                  ')'                     L460:C32
  LBRACE                  '{'                     L460:C34
  RETURN                  'return'                L461:C9
  INT_LIT                 '0'                     L461:C16
  SEMI                    ';'                     L461:C17
  RBRACE                  '}'                     L462:C5
  T_INT                   'int'                   L464:C5
  ID                      'shifted'               L464:C9
  ASSIGN                  '='                     L464:C17
  ID                      'x'                     L464:C19
  LSHIFT                  '<<'                    L464:C21
  INT_LIT                 '2'                     L464:C24
  SEMI                    ';'                     L464:C25
  ID                      'shifted'               L465:C5
  ASSIGN                  '='                     L465:C13
  ID                      'shifted'               L465:C15
  RSHIFT                  '>>'                    L465:C23
  INT_LIT                 '1'                     L465:C26
  SEMI                    ';'                     L465:C27
  RETURN                  'return'                L467:C5
  ID                      'result'                L467:C12
  SEMI                    ';'                     L467:C18
  RBRACE                  '}'                     L468:C1
  STRUCT                  'struct'                L470:C1
  ID                      'Point'                 L470:C8
  LBRACE                  '{'                     L470:C14
  T_INT                   'int'                   L471:C5
  ID                      'x'                     L471:C9
  SEMI                    ';'                     L471:C10
  T_INT                   'int'                   L472:C5
  ID                      'y'                     L472:C9
  SEMI                    ';'                     L472:C10
  RBRACE                  '}'                     L473:C1
  SEMI                    ';'                     L473:C2
  CONST                   'const'                 L475:C1
  T_FLOAT                 'float'                 L475:C7
  ID                      'PI'                    L475:C13
  ASSIGN                  '='                     L475:C16
  FLOAT_LIT               '3.14'                  L475:C18
  SEMI                    ';'                     L475:C22
  T_INT                   'int'                   L476:C1
  ID                      'counter'               L476:C5
  ASSIGN                  '='                     L476:C13
  INT_LIT                 '0'                     L476:C15
  SEMI                    ';'                     L476:C16
  T_INT                   'int'                   L477:C1
  ID                      'arr'                   L477:C5
  LBRACKET                '['                     L477:C8
  INT_LIT                 '10'                    L477:C9
  RBRACKET                ']'                     L477:C11
  SEMI                    ';'                     L477:C12
  T_VOID                  'void'                  L479:C1
  ID                      'swap'                  L479:C6
  LPAREN                  '('                     L479:C10
  T_INT                   'int'                   L479:C11
  ID                      'a'                     L479:C15
  COMMA                   ','                     L479:C16
  T_INT                   'int'                   L479:C18
  ID                      'b'                     L479:C22
  RPAREN                  ')'                     L479:C23
  LBRACE                  '{'                     L479:C25
  T_INT                   'int'                   L480:C5
  ID                      'temp'                  L480:C9
  ASSIGN                  '='                     L480:C14
  ID                      'a'                     L480:C16
  SEMI                    ';'                     L480:C17
  ID                      'a'                     L481:C5
  ASSIGN                  '='                     L481:C7
  ID                      'b'                     L481:C9
  SEMI                    ';'                     L481:C10
  ID                      'b'                     L482:C5
  ASSIGN                  '='                     L482:C7
  ID                      'temp'                  L482:C9
  SEMI                    ';'                     L482:C13
  RBRACE                  '}'                     L483:C1
  T_INT                   'int'                   L485:C1
  ID                      'factorial'             L485:C5
  LPAREN                  '('                     L485:C14
  T_INT                   'int'                   L485:C15
  ID                      'n'                     L485:C19
  RPAREN                  ')'                     L485:C20
  LBRACE                  '{'                     L485:C22
  IF                      'if'                    L486:C5
  LPAREN                  '('                     L486:C8
  ID                      'n'                     L486:C9
  LEQ                     '<='                    L486:C11
  INT_LIT                 '1'                     L486:C14
  RPAREN                  ')'                     L486:C15
  LBRACE                  '{'                     L486:C17
  RETURN                  'return'                L487:C9
  INT_LIT                 '1'                     L487:C16
  SEMI                    ';'                     L487:C17
  RBRACE                  '}'                     L488:C5
  RETURN                  'return'                L489:C5
  ID                      'n'                     L489:C12
  TIMES                   '*'                     L489:C14
  ID                      'factorial'             L489:C16
  LPAREN                  '('                     L489:C25
  ID                      'n'                     L489:C26
  MINUS                   '-'                     L489:C28
  INT_LIT                 '1'                     L489:C30
  RPAREN                  ')'                     L489:C31
  SEMI                    ';'                     L489:C32
  RBRACE                  '}'                     L490:C1
  T_INT                   'int'                   L492:C1
  ID                      'main'                  L492:C5
  LPAREN                  '('                     L492:C9
  RPAREN                  ')'                     L492:C10
  LBRACE                  '{'                     L492:C12
  T_INT                   'int'                   L493:C5
  ID                      'x'                     L493:C9
  ASSIGN                  '='                     L493:C11
  HEX_LIT                 '0xFF'                  L493:C13
  SEMI                    ';'                     L493:C17
  T_INT                   'int'                   L494:C5
  ID                      'y'                     L494:C9
  ASSIGN                  '='                     L494:C11
  INT_LIT                 '42'                    L494:C13
  SEMI                    ';'                     L494:C15
  T_FLOAT                 'float'                 L495:C5
  ID                      'z'                     L495:C11
  ASSIGN                  '='                     L495:C13
  FLOAT_LIT               '1.5'                   L495:C15
  SEMI                    ';'                     L495:C18
  FOR                     'for'                   L497:C5
  LPAREN                  '('                     L497:C9
  T_INT                   'int'                   L497:C10
  ID                      'i'                     L497:C14
  ASSIGN                  '='                     L497:C16
  INT_LIT                 '0'                     L497:C18
  SEMI                    ';'                     L497:C19
  ID                      'i'                     L497:C21
  LT                      '<'                     L497:C23
  INT_LIT                 '10'                    L497:C25
  SEMI                    ';'                     L497:C27
  ID                      'i'                     L497:C29
  INC                     '++'                    L497:C30
  RPAREN                  ')'                     L497:C32
  LBRACE                  '{'                     L497:C34
  ID                      'arr'                   L498:C9
  LBRACKET                '['                     L498:C12
  ID                      'i'                     L498:C13
  RBRACKET                ']'                     L498:C14
  ASSIGN                  '='                     L498:C16
  ID                      'i'                     L498:C18
  TIMES                   '*'                     L498:C20
  INT_LIT                 '2'                     L498:C22
  SEMI                    ';'                     L498:C23
  ID                      'counter'               L499:C9
  INC                     '++'                    L499:C16
  SEMI                    ';'                     L499:C18
  RBRACE                  '}'                     L500:C5
  IF                      'if'                    L502:C5
  LPAREN                  '('                     L502:C8
  ID                      'x'                     L502:C9
  EQ                      '=='                    L502:C11
  ID                      'y'                     L502:C14
  OR                      '||'                    L502:C16
  ID                      'x'                     L502:C19
  NEQ                     '!='                    L502:C21
  INT_LIT                 '0'                     L502:C24
  RPAREN                  ')'                     L502:C25
  LBRACE                  '{'                     L502:C27
  ID                      'x'                     L503:C9
  PLUS_ASSIGN             '+='                    L503:C11
  INT_LIT                 '10'                    L503:C14
  SEMI                    ';'                     L503:C16
  ID                      'y'                     L504:C9
  MINUS_ASSIGN            '-='                    L504:C11
  INT_LIT                 '5'                     L504:C14
  SEMI                    ';'                     L504:C15
  RBRACE                  '}'                     L505:C5
  ELSE                    'else'                  L505:C7
  LBRACE                  '{'                     L505:C12
  ID                      'x'                     L506:C9
  TIMES_ASSIGN            '*='                    L506:C11
  INT_LIT                 '2'                     L506:C14
  SEMI                    ';'                     L506:C15
  ID                      'y'                     L507:C9
  DIV_ASSIGN              '/='                    L507:C11
  INT_LIT                 '3'                     L507:C14
  SEMI                    ';'                     L507:C15
  RBRACE                  '}'                     L508:C5
  WHILE                   'while'                 L510:C5
  LPAREN                  '('                     L510:C11
  ID                      'y'                     L510:C12
  GT                      '>'                     L510:C14
  INT_LIT                 '0'                     L510:C16
  AND                     '&&'                    L510:C18
  ID                      'x'                     L510:C21
  LT                      '<'                     L510:C23
  INT_LIT                 '100'                   L510:C25
  RPAREN                  ')'                     L510:C28
  LBRACE                  '{'                     L510:C30
  ID                      'y'                     L511:C9
  DEC                     '--'                    L511:C10
  SEMI                    ';'                     L511:C12
  ID                      'x'                     L512:C9
  INC                     '++'                    L512:C10
  SEMI                    ';'                     L512:C12
  IF                      'if'                    L513:C9
  LPAREN                  '('                     L513:C12
  ID                      'y'                     L513:C13
  MOD                     '%'                     L513:C15
  INT_LIT                 '2'                     L513:C17
  EQ                      '=='                    L513:C19
  INT_LIT                 '0'                     L513:C22
  RPAREN                  ')'                     L513:C23
  LBRACE                  '{'                     L513:C25
  CONTINUE                'continue'              L514:C13
  SEMI                    ';'                     L514:C21
  RBRACE                  '}'                     L515:C9
  IF                      'if'                    L516:C9
  LPAREN                  '('                     L516:C12
  ID                      'x'                     L516:C13
  GT                      '>'                     L516:C15
  INT_LIT                 '50'                    L516:C17
  RPAREN                  ')'                     L516:C19
  LBRACE                  '{'                     L516:C21
  BREAK                   'break'                 L517:C13
  SEMI                    ';'                     L517:C18
  RBRACE                  '}'                     L518:C9
  RBRACE                  '}'                     L519:C5
  T_INT                   'int'                   L521:C5
  ID                      'result'                L521:C9
  ASSIGN                  '='                     L521:C16
  ID                      'factorial'             L521:C18
  LPAREN                  '('                     L521:C27
  INT_LIT                 '5'                     L521:C28
  RPAREN                  ')'                     L521:C29
  SEMI                    ';'                     L521:C30
  ID                      'Point'                 L522:C5
  ID                      'p'                     L522:C11
  SEMI                    ';'                     L522:C12
  ID                      'p'                     L523:C5
  DOT                     '.'                     L523:C6
  ID                      'x'                     L523:C7
  ASSIGN                  '='                     L523:C9
  ID                      'result'                L523:C11
  SEMI                    ';'                     L523:C17
  ID                      'p'                     L524:C5
  DOT                     '.'                     L524:C6
  ID                      'y'                     L524:C7
  ASSIGN                  '='                     L524:C9
  ID                      'counter'               L524:C11
  SEMI                    ';'                     L524:C18
  ID                      'bool'                  L526:C5
  ID                      'flag'                  L526:C10
  ASSIGN                  '='                     L526:C15
  TRUE                    'true'                  L526:C17
  SEMI                    ';'                     L526:C21
  IF                      'if'                    L527:C5
  LPAREN                  '('                     L527:C8
  NOT                     '!'                     L527:C9
  ID                      'flag'                  L527:C10
  OR                      '||'                    L527:C15
  ID                      'result'                L527:C18
  EQ                      '=='                    L527:C25
  NULL_KW                 'null'                  L527:C28
  RPAREN                  ')'                     L527:C32
  LBRACE                  '{'                     L527:C34
  RETURN                  'return'                L528:C9
  INT_LIT                 '0'                     L528:C16
  SEMI                    ';'                     L528:C17
  RBRACE                  '}'                     L529:C5
  T_INT                   'int'                   L531:C5
  ID                      'shifted'               L531:C9
  ASSIGN                  '='                     L531:C17
  ID                      'x'                     L531:C19
  LSHIFT                  '<<'                    L531:C21
  INT_LIT                 '2'                     L531:C24
  SEMI                    ';'                     L531:C25
  ID                      'shifted'               L532:C5
  ASSIGN                  '='                     L532:C13
  ID                      'shifted'               L532:C15
  RSHIFT                  '>>'                    L532:C23
  INT_LIT                 '1'                     L532:C26
  SEMI                    ';'                     L532:C27
  RETURN                  'return'                L534:C5
  ID                      'result'                L534:C12
  SEMI                    ';'                     L534:C18
  RBRACE                  '}'                     L535:C1
  STRUCT                  'struct'                L537:C1
  ID                      'Point'                 L537:C8
  LBRACE                  '{'                     L537:C14
  T_INT                   'int'                   L538:C5
  ID                      'x'                     L538:C9
  SEMI                    ';'                     L538:C10
  T_INT                   'int'                   L539:C5
  ID                      'y'                     L539:C9
  SEMI                    ';'                     L539:C10
  RBRACE                  '}'                     L540:C1
  SEMI                    ';'                     L540:C2
  CONST                   'const'                 L542:C1
  T_FLOAT                 'float'                 L542:C7
  ID                      'PI'                    L542:C13
  ASSIGN                  '='                     L542:C16
  FLOAT_LIT               '3.14'                  L542:C18
  SEMI                    ';'                     L542:C22
  T_INT                   'int'                   L543:C1
  ID                      'counter'               L543:C5
  ASSIGN                  '='                     L543:C13
  INT_LIT                 '0'                     L543:C15
  SEMI                    ';'                     L543:C16
  T_INT                   'int'                   L544:C1
  ID                      'arr'                   L544:C5
  LBRACKET                '['                     L544:C8
  INT_LIT                 '10'                    L544:C9
  RBRACKET                ']'                     L544:C11
  SEMI                    ';'                     L544:C12
  T_VOID                  'void'                  L546:C1
  ID                      'swap'                  L546:C6
  LPAREN                  '('                     L546:C10
  T_INT                   'int'                   L546:C11
  ID                      'a'                     L546:C15
  COMMA                   ','                     L546:C16
  T_INT                   'int'                   L546:C18
  ID                      'b'                     L546:C22
  RPAREN                  ')'                     L546:C23
  LBRACE                  '{'                     L546:C25
  T_INT                   'int'                   L547:C5
  ID                      'temp'                  L547:C9
  ASSIGN                  '='                     L547:C14
  ID                      'a'                     L547:C16
  SEMI                    ';'                     L547:C17
  ID                      'a'                     L548:C5
  ASSIGN                  '='                     L548:C7
  ID                      'b'                     L548:C9
  SEMI                    ';'                     L548:C10
  ID                      'b'                     L549:C5
  ASSIGN                  '='                     L549:C7
  ID                      'temp'                  L549:C9
  SEMI                    ';'                     L549:C13
  RBRACE                  '}'                     L550:C1
  T_INT                   'int'                   L552:C1
  ID                      'factorial'             L552:C5
  LPAREN                  '('                     L552:C14
  T_INT                   'int'                   L552:C15
  ID                      'n'                     L552:C19
  RPAREN                  ')'                     L552:C20
  LBRACE                  '{'                     L552:C22
  IF                      'if'                    L553:C5
  LPAREN                  '('                     L553:C8
  ID                      'n'                     L553:C9
  LEQ                     '<='                    L553:C11
  INT_LIT                 '1'                     L553:C14
  RPAREN                  ')'                     L553:C15
  LBRACE                  '{'                     L553:C17
  RETURN                  'return'                L554:C9
  INT_LIT                 '1'                     L554:C16
  SEMI                    ';'                     L554:C17
  RBRACE                  '}'                     L555:C5
  RETURN                  'return'                L556:C5
  ID                      'n'                     L556:C12
  TIMES                   '*'                     L556:C14
  ID                      'factorial'             L556:C16
  LPAREN                  '('                     L556:C25
  ID                      'n'                     L556:C26
  MINUS                   '-'                     L556:C28
  INT_LIT                 '1'                     L556:C30
  RPAREN                  ')'                     L556:C31
  SEMI                    ';'                     L556:C32
  RBRACE                  '}'                     L557:C1
  T_INT                   'int'                   L559:C1
  ID                      'main'                  L559:C5
  LPAREN                  '('                     L559:C9
  RPAREN                  ')'                     L559:C10
  LBRACE                  '{'                     L559:C12
  T_INT                   'int'                   L560:C5
