Token('STRUCT', 'struct', line=1, col=1)
Token('ID', 'p', line=589, col=11)
Token('SEMI', ';', line=589, col=12)
Token('ID', 'p', line=590, col=5)
Token('DOT', '.', line=590, col=6)
Token('ID', 'x', line=590, col=7)
Token('ASSIGN', '=', line=590, col=9)
Token('ID', 'result', line=590, col=11)
Token('SEMI', ';', line=590, col=17)
Token('ID', 'p', line=591, col=5)
Token('DOT', '.', line=591, col=6)
Token('ID', 'y', line=591, col=7)
Token('ASSIGN', '=', line=591, col=9)
Token('ID', 'counter', line=591, col=11)
Token('SEMI', ';', line=591, col=18)
Token('ID', 'bool', line=593, col=5)
Token('ID', 'flag', line=593, col=10)
Token('ASSIGN', '=', line=593, col=15)
Token('TRUE', 'true', line=593, col=17)
Token('SEMI', ';', line=593, col=21)
Token('IF', 'if', line=594, col=5)
Token('LPAREN', '(', line=594, col=8)
Token('NOT', '!', line=594, col=9)
Token('ID', 'flag', line=594, col=10)
Token('OR', '||', line=594, col=15)
Token('ID', 'result', line=594, col=18)
Token('EQ', '==', line=594, col=25)
Token('NULL_KW', 'null', line=594, col=28)
Token('RPAREN', ')', line=594, col=32)
Token('LBRACE', '{', line=594, col=34)
Token('RETURN', 'return', line=595, col=9)
Token('INT_LIT', '0', line=595, col=16)
Token('SEMI', ';', line=595, col=17)
Token('RBRACE', '}', line=596, col=5)
Token('T_INT', 'int', line=598, col=5)
Token('ID', 'shifted', line=598, col=9)
Token('ASSIGN', '=', line=598, col=17)
Token('ID', 'x', line=598, col=19)
Token('LSHIFT', '<<', line=598, col=21)
Token('INT_LIT', '2', line=598, col=24)
Token('SEMI', ';', line=598, col=25)
Token('ID', 'shifted', line=599, col=5)
Token('ASSIGN', '=', line=599, col=13)
Token('ID', 'shifted', line=599, col=15)
Token('RSHIFT', '>>', line=599, col=23)
Token('INT_LIT', '1', line=599, col=26)
Token('SEMI', ';', line=599, col=27)
Token('RETURN', 'return', line=601, col=5)
Token('ID', 'result', line=601, col=12)
Token('SEMI', ';', line=601, col=18)
Token('RBRACE', '}', line=602, col=1)
Token('STRUCT', 'struct', line=604, col=1)
Token('ID', 'Point', line=604, col=8)
Token('LBRACE', '{', line=604, col=14)
Token('T_INT', 'int', line=605, col=5)
Token('ID', 'x', line=605, col=9)
Token('SEMI', ';', line=605, col=10)
Token('T_INT', 'int', line=606, col=5)
Token('ID', 'y', line=606, col=9)
Token('SEMI', ';', line=606, col=10)
Token('RBRACE', '}', line=607, col=1)
Token('SEMI', ';', line=607, col=2)
Token('CONST', 'const', line=609, col=1)
Token('T_FLOAT', 'float', line=609, col=7)
Token('ID', 'PI', line=609, col=13)
Token('ASSIGN', '=', line=609, col=16)
Token('FLOAT_LIT', '3.14', line=609, col=18)
Token('SEMI', ';', line=609, col=22)
Token('T_INT', 'int', line=610, col=1)
Token('ID', 'counter', line=610, col=5)
Token('ASSIGN', '=', line=610, col=13)
Token('INT_LIT', '0', line=610, col=15)
Token('SEMI', ';', line=610, col=16)
Token('T_INT', 'int', line=611, col=1)
Token('ID', 'arr', line=611, col=5)
Token('LBRACKET', '[', line=611, col=8)
Token('INT_LIT', '10', line=611, col=9)
Token('RBRACKET', ']', line=611, col=11)
Token('SEMI', ';', line=611, col=12)
Token('T_VOID', 'void', line=613, col=1)
Token('ID', 'swap', line=613, col=6)
Token('LPAREN', '(', line=613, col=10)
Token('T_INT', 'int', line=613, col=11)
Token('ID', 'a', line=613, col=15)
Token('COMMA', ',', line=613, col=16)
Token('T_INT', 'int', line=613, col=18)
Token('ID', 'b', line=613, col=22)
Token('RPAREN', ')', line=613, col=23)
Token('LBRACE', '{', line=613, col=25)
Token('T_INT', 'int', line=614, col=5)
Token('ID', 'temp', line=614, col=9)
Token('ASSIGN', '=', line=614, col=14)
Token('ID', 'a', line=614, col=16)
Token('SEMI', ';', line=614, col=17)
Token('ID', 'a', line=615, col=5)
Token('ASSIGN', '=', line=615, col=7)
Token('ID', 'b', line=615, col=9)
Token('SEMI', ';', line=615, col=10)
Token('ID', 'b', line=616, col=5)
Token('ASSIGN', '=', line=616, col=7)
Token('ID', 'temp', line=616, col=9)
Token('SEMI', ';', line=616, col=13)
Token('RBRACE', '}', line=617, col=1)
Token('T_INT', 'int', line=619, col=1)
Token('ID', 'factorial', line=619, col=5)
Token('LPAREN', '(', line=619, col=14)
Token('T_INT', 'int', line=619, col=15)
Token('ID', 'n', line=619, col=19)
Token('RPAREN', ')', line=619, col=20)
Token('LBRACE', '{', line=619, col=22)
Token('IF', 'if', line=620, col=5)
Token('LPAREN', '(', line=620, col=8)
Token('ID', 'n', line=620, col=9)
Token('LEQ', '<=', line=620, col=11)
Token('INT_LIT', '1', line=620, col=14)
Token('RPAREN', ')', line=620, col=15)
Token('LBRACE', '{', line=620, col=17)
Token('RETURN', 'return', line=621, col=9)
Token('INT_LIT', '1', line=621, col=16)
Token('SEMI', ';', line=621, col=17)
Token('RBRACE', '}', line=622, col=5)
Token('RETURN', 'return', line=623, col=5)
Token('ID', 'n', line=623, col=12)
Token('TIMES', '*', line=623, col=14)
Token('ID', 'factorial', line=623, col=16)
Token('LPAREN', '(', line=623, col=25)
Token('ID', 'n', line=623, col=26)
Token('MINUS', '-', line=623, col=28)
Token('INT_LIT', '1', line=623, col=30)
Token('RPAREN', ')', line=623, col=31)
Token('SEMI', ';', line=623, col=32)
Token('RBRACE', '}', line=624, col=1)
Token('T_INT', 'int', line=626, col=1)
Token('ID', 'main', line=626, col=5)
Token('LPAREN', '(', line=626, col=9)
Token('RPAREN', ')', line=626, col=10)
Token('LBRACE', '{', line=626, col=12)
Token('T_INT', 'int', line=627, col=5)
Token('ID', 'x', line=627, col=9)
Token('ASSIGN', '=', line=627, col=11)
Token('HEX_LIT', '0xFF', line=627, col=13)
Token('SEMI', ';', line=627, col=17)
Token('T_INT', 'int', line=628, col=5)
Token('ID', 'y', line=628, col=9)
Token('ASSIGN', '=', line=628, col=11)
Token('INT_LIT', '42', line=628, col=13)
Token('SEMI', ';', line=628, col=15)
Token('T_FLOAT', 'float', line=629, col=5)
Token('ID', 'z', line=629, col=11)
Token('ASSIGN', '=', line=629, col=13)
Token('FLOAT_LIT', '1.5', line=629, col=15)
Token('SEMI', ';', line=629, col=18)
Token('FOR', 'for', line=631, col=5)
Token('LPAREN', '(', line=631, col=9)
Token('T_INT', 'int', line=631, col=10)
Token('ID', 'i', line=631, col=14)
Token('ASSIGN', '=', line=631, col=16)
Token('INT_LIT', '0', line=631, col=18)
Token('SEMI', ';', line=631, col=19)
Token('ID', 'i', line=631, col=21)
Token('LT', '<', line=631, col=23)
Token('INT_LIT', '10', line=631, col=25)
Token('SEMI', ';', line=631, col=27)
Token('ID', 'i', line=631, col=29)
Token('INC', '++', line=631, col=30)
Token('RPAREN', ')', line=631, col=32)
Token('LBRACE', '{', line=631, col=34)
Token('ID', 'arr', line=632, col=9)
Token('LBRACKET', '[', line=632, col=12)
Token('ID', 'i', line=632, col=13)
Token('RBRACKET', ']', line=632, col=14)
Token('ASSIGN', '=', line=632, col=16)
Token('ID', 'i', line=632, col=18)
Token('TIMES', '*', line=632, col=20)
Token('INT_LIT', '2', line=632, col=22)
Token('SEMI', ';', line=632, col=23)
Token('ID', 'counter', line=633, col=9)
Token('INC', '++', line=633, col=16)
Token('SEMI', ';', line=633, col=18)
Token('RBRACE', '}', line=634, col=5)
Token('IF', 'if', line=636, col=5)
Token('LPAREN', '(', line=636, col=8)
Token('ID', 'x', line=636, col=9)
Token('EQ', '==', line=636, col=11)
Token('ID', 'y', line=636, col=14)
Token('OR', '||', line=636, col=16)
Token('ID', 'x', line=636, col=19)
Token('NEQ', '!=', line=636, col=21)
Token('INT_LIT', '0', line=636, col=24)
Token('RPAREN', ')', line=636, col=25)
Token('LBRACE', '{', line=636, col=27)
Token('ID', 'x', line=637, col=9)
Token('PLUS_ASSIGN', '+=', line=637, col=11)
Token('INT_LIT', '10', line=637, col=14)
Token('SEMI', ';', line=637, col=16)
Token('ID', 'y', line=638, col=9)
Token('MINUS_ASSIGN', '-=', line=638, col=11)
Token('INT_LIT', '5', line=638, col=14)
Token('SEMI', ';', line=638, col=15)
Token('RBRACE', '}', line=639, col=5)
Token('ELSE', 'else', line=639, col=7)
Token('LBRACE', '{', line=639, col=12)
Token('ID', 'x', line=640, col=9)
Token('TIMES_ASSIGN', '*=', line=640, col=11)
Token('INT_LIT', '2', line=640, col=14)
Token('SEMI', ';', line=640, col=15)
Token('ID', 'y', line=641, col=9)
Token('DIV_ASSIGN', '/=', line=641, col=11)
Token('INT_LIT', '3', line=641, col=14)
Token('SEMI', ';', line=641, col=15)
Token('RBRACE', '}', line=642, col=5)
Token('WHILE', 'while', line=644, col=5)
Token('LPAREN', '(', line=644, col=11)
Token('ID', 'y', line=644, col=12)
Token('GT', '>', line=644, col=14)
Token('INT_LIT', '0', line=644, col=16)
Token('AND', '&&', line=644, col=18)
Token('ID', 'x', line=644, col=21)
Token('LT', '<', line=644, col=23)
Token('INT_LIT', '100', line=644, col=25)
Token('RPAREN', ')', line=644, col=28)
Token('LBRACE', '{', line=644, col=30)
Token('ID', 'y', line=645, col=9)
Token('DEC', '--', line=645, col=10)
Token('SEMI', ';', line=645, col=12)
Token('ID', 'x', line=646, col=9)
Token('INC', '++', line=646, col=10)
Token('SEMI', ';', line=646, col=12)
Token('IF', 'if', line=647, col=9)
Token('LPAREN', '(', line=647, col=12)
Token('ID', 'y', line=647, col=13)
Token('MOD', '%', line=647, col=15)
Token('INT_LIT', '2', line=647, col=17)
Token('EQ', '==', line=647, col=19)
Token('INT_LIT', '0', line=647, col=22)
Token('RPAREN', ')', line=647, col=23)
Token('LBRACE', '{', line=647, col=25)
Token('CONTINUE', 'continue', line=648, col=13)
Token('SEMI', ';', line=648, col=21)
Token('RBRACE', '}', line=649, col=9)
Token('IF', 'if', line=650, col=9)
Token('LPAREN', '(', line=650, col=12)
Token('ID', 'x', line=650, col=13)
Token('GT', '>', line=650, col=15)
Token('INT_LIT', '50', line=650, col=17)
Token('RPAREN', ')', line=650, col=19)
Token('LBRACE', '{', line=650, col=21)
Token('BREAK', 'break', line=651, col=13)
Token('SEMI', ';', line=651, col=18)
Token('RBRACE', '}', line=652, col=9)
Token('RBRACE', '}', line=653, col=5)
Token('T_INT', 'int', line=655, col=5)
Token('ID', 'result', line=655, col=9)
Token('ASSIGN', '=', line=655, col=16)
Token('ID', 'factorial', line=655, col=18)
Token('LPAREN', '(', line=655, col=27)
Token('INT_LIT', '5', line=655, col=28)
Token('RPAREN', ')', line=655, col=29)
Token('SEMI', ';', line=655, col=30)
Token('ID', 'Point', line=656, col=5)
Token('ID', 'p', line=656, col=11)
Token('SEMI', ';', line=656, col=12)
Token('ID', 'p', line=657, col=5)
Token('DOT', '.', line=657, col=6)
Token('ID', 'x', line=657, col=7)
Token('ASSIGN', '=', line=657, col=9)
Token('ID', 'result', line=657, col=11)
Token('SEMI', ';', line=657, col=17)
Token('ID', 'p', line=658, col=5)
Token('DOT', '.', line=658, col=6)
Token('ID', 'y', line=658, col=7)
Token('ASSIGN', '=', line=658, col=9)
Token('ID', 'counter', line=658, col=11)
Token('SEMI', ';', line=658, col=18)
Token('ID', 'bool', line=660, col=5)
Token('ID', 'flag', line=660, col=10)
Token('ASSIGN', '=', line=660, col=15)
Token('TRUE', 'true', line=660, col=17)
Token('SEMI', ';', line=660, col=21)
Token('IF', 'if', line=661, col=5)
Token('LPAREN', '(', line=661, col=8)
Token('NOT', '!', line=661, col=9)
Token('ID', 'flag', line=661, col=10)
Token('OR', '||', line=661, col=15)
Token('ID', 'result', line=661, col=18)
Token('EQ', '==', line=661, col=25)
Token('NULL_KW', 'null', line=661, col=28)
Token('RPAREN', ')', line=661, col=32)
Token('LBRACE', '{', line=661, col=34)
Token('RETURN', 'return', line=662, col=9)
Token('INT_LIT', '0', line=662, col=16)
Token('SEMI', ';', line=662, col=17)
Token('RBRACE', '}', line=663, col=5)
Token('T_INT', 'int', line=665, col=5)
Token('ID', 'shifted', line=665, col=9)
Token('ASSIGN', '=', line=665, col=17)
Token('ID', 'x', line=665, col=19)
Token('LSHIFT', '<<', line=665, col=21)
Token('INT_LIT', '2', line=665, col=24)
Token('SEMI', ';', line=665, col=25)
Token('ID', 'shifted', line=666, col=5)
Token('ASSIGN', '=', line=666, col=13)
Token('ID', 'shifted', line=666, col=15)
Token('RSHIFT', '>>', line=666, col=23)
Token('INT_LIT', '1', line=666, col=26)
Token('SEMI', ';', line=666, col=27)
Token('RETURN', 'return', line=668, col=5)
Token('ID', 'result', line=668, col=12)
Token('SEMI', ';', line=668, col=18)
Token('RBRACE', '}', line=669, col=1)
Token('STRUCT', 'struct', line=671, col=1)
Token('ID', 'Point', line=671, col=8)
Token('LBRACE', '{', line=671, col=14)
Token('T_INT', 'int', line=672, col=5)
Token('ID', 'x', line=672, col=9)
Token('SEMI', ';', line=672, col=10)
Token('T_INT', 'int', line=673, col=5)
Token('ID', 'y', line=673, col=9)
Token('SEMI', ';', line=673, col=10)
Token('RBRACE', '}', line=674, col=1)
Token('SEMI', ';', line=674, col=2)
Token('CONST', 'const', line=676, col=1)
Token('T_FLOAT', 'float', line=676, col=7)
Token('ID', 'PI', line=676, col=13)
Token('ASSIGN', '=', line=676, col=16)
Token('FLOAT_LIT', '3.14', line=676, col=18)
Token('SEMI', ';', line=676, col=22)
Token('T_INT', 'int', line=677, col=1)
Token('ID', 'counter', line=677, col=5)
Token('ASSIGN', '=', line=677, col=13)
Token('INT_LIT', '0', line=677, col=15)
Token('SEMI', ';', line=677, col=16)
Token('T_INT', 'int', line=678, col=1)
Token('ID', 'arr', line=678, col=5)
Token('LBRACKET', '[', line=678, col=8)
Token('INT_LIT', '10', line=678, col=9)
Token('RBRACKET', ']', line=678, col=11)
Token('SEMI', ';', line=678, col=12)
Token('T_VOID', 'void', line=680, col=1)
Token('ID', 'swap', line=680, col=6)
Token('LPAREN', '(', line=680, col=10)
Token('T_INT', 'int', line=680, col=11)
Token('ID', 'a', line=680, col=15)
Token('COMMA', ',', line=680, col=16)
Token('T_INT', 'int', line=680, col=18)
Token('ID', 'b', line=680, col=22)
Token('RPAREN', ')', line=680, col=23)
Token('LBRACE', '{', line=680, col=25)
Token('T_INT', 'int', line=681, col=5)
Token('ID', 'temp', line=681, col=9)
Token('ASSIGN', '=', line=681, col=14)
Token('ID', 'a', line=681, col=16)
Token('SEMI', ';', line=681, col=17)
Token('ID', 'a', line=682, col=5)
Token('ASSIGN', '=', line=682, col=7)
Token('ID', 'b', line=682, col=9)
Token('SEMI', ';', line=682, col=10)
Token('ID', 'b', line=683, col=5)
Token('ASSIGN', '=', line=683, col=7)
Token('ID', 'temp', line=683, col=9)
Token('SEMI', ';', line=683, col=13)
Token('RBRACE', '}', line=684, col=1)
Token('T_INT', 'int', line=686, col=1)
Token('ID', 'factorial', line=686, col=5)
Token('LPAREN', '(', line=686, col=14)
Token('T_INT', 'int', line=686, col=15)
Token('ID', 'n', line=686, col=19)
Token('RPAREN', ')', line=686, col=20)
Token('LBRACE', '{', line=686, col=22)
Token('IF', 'if', line=687, col=5)
Token('LPAREN', '(', line=687, col=8)
Token('ID', 'n', line=687, col=9)
Token('LEQ', '<=', line=687, col=11)
Token('INT_LIT', '1', line=687, col=14)
Token('RPAREN', ')', line=687, col=15)
Token('LBRACE', '{', line=687, col=17)
Token('RETURN', 'return', line=688, col=9)
Token('INT_LIT', '1', line=688, col=16)
Token('SEMI', ';', line=688, col=17)
Token('RBRACE', '}', line=689, col=5)
Token('RETURN', 'return', line=690, col=5)
Token('ID', 'n', line=690, col=12)
Token('TIMES', '*', line=690, col=14)
Token('ID', 'factorial', line=690, col=16)
Token('LPAREN', '(', line=690, col=25)
Token('ID', 'n', line=690, col=26)
Token('MINUS', '-', line=690, col=28)
Token('INT_LIT', '1', line=690, col=30)
Token('RPAREN', ')', line=690, col=31)
Token('SEMI', ';', line=690, col=32)
Token('RBRACE', '}', line=691, col=1)
Token('T_INT', 'int', line=693, col=1)
Token('ID', 'main', line=693, col=5)
Token('LPAREN', '(', line=693, col=9)
Token('RPAREN', ')', line=693, col=10)
Token('LBRACE', '{', line=693, col=12)
Token('T_INT', 'int', line=694, col=5)
Token('ID', 'x', line=694, col=9)
Token('ASSIGN', '=', line=694, col=11)
Token('HEX_LIT', '0xFF', line=694, col=13)
Token('SEMI', ';', line=694, col=17)
Token('T_INT', 'int', line=695, col=5)
Token('ID', 'y', line=695, col=9)
Token('ASSIGN', '=', line=695, col=11)
Token('INT_LIT', '42', line=695, col=13)
Token('SEMI', ';', line=695, col=15)
Token('T_FLOAT', 'float', line=696, col=5)
Token('ID', 'z', line=696, col=11)
Token('ASSIGN', '=', line=696, col=13)
Token('FLOAT_LIT', '1.5', line=696, col=15)
Token('SEMI', ';', line=696, col=18)
Token('FOR', 'for', line=698, col=5)
Token('LPAREN', '(', line=698, col=9)
Token('T_INT', 'int', line=698, col=10)
Token('ID', 'i', line=698, col=14)
Token('ASSIGN', '=', line=698, col=16)
Token('INT_LIT', '0', line=698, col=18)
Token('SEMI', ';', line=698, col=19)
Token('ID', 'i', line=698, col=21)
Token('LT', '<', line=698, col=23)
Token('INT_LIT', '10', line=698, col=25)
Token('SEMI', ';', line=698, col=27)
Token('ID', 'i', line=698, col=29)
Token('INC', '++', line=698, col=30)
Token('RPAREN', ')', line=698, col=32)
Token('LBRACE', '{', line=698, col=34)
Token('ID', 'arr', line=699, col=9)
Token('LBRACKET', '[', line=699, col=12)
Token('ID', 'i', line=699, col=13)
Token('RBRACKET', ']', line=699, col=14)
Token('ASSIGN', '=', line=699, col=16)
Token('ID', 'i', line=699, col=18)
Token('TIMES', '*', line=699, col=20)
Token('INT_LIT', '2', line=699, col=22)
Token('SEMI', ';', line=699, col=23)
Token('ID', 'counter', line=700, col=9)
Token('INC', '++', line=700, col=16)
Token('SEMI', ';', line=700, col=18)
Token('RBRACE', '}', line=701, col=5)
Token('IF', 'if', line=703, col=5)
Token('LPAREN', '(', line=703, col=8)
Token('ID', 'x', line=703, col=9)
Token('EQ', '==', line=703, col=11)
Token('ID', 'y', line=703, col=14)
Token('OR', '||', line=703, col=16)
Token('ID', 'x', line=703, col=19)
Token('NEQ', '!=', line=703, col=21)
Token('INT_LIT', '0', line=703, col=24)
Token('RPAREN', ')', line=703, col=25)
Token('LBRACE', '{', line=703, col=27)
Token('ID', 'x', line=704, col=9)
Token('PLUS_ASSIGN', '+=', line=704, col=11)
Token('INT_LIT', '10', line=704, col=14)
Token('SEMI', ';', line=704, col=16)
Token('ID', 'y', line=705, col=9)
Token('MINUS_ASSIGN', '-=', line=705, col=11)
Token('INT_LIT', '5', line=705, col=14)
Token('SEMI', ';', line=705, col=15)
Token('RBRACE', '}', line=706, col=5)
Token('ELSE', 'else', line=706, col=7)
Token('LBRACE', '{', line=706, col=12)
Token('ID', 'x', line=707, col=9)
Token('TIMES_ASSIGN', '*=', line=707, col=11)
Token('INT_LIT', '2', line=707, col=14)
Token('SEMI', ';', line=707, col=15)
Token('ID', 'y', line=708, col=9)
Token('DIV_ASSIGN', '/=', line=708, col=11)
Token('INT_LIT', '3', line=708, col=14)
Token('SEMI', ';', line=708, col=15)
Token('RBRACE', '}', line=709, col=5)
Token('WHILE', 'while', line=711, col=5)
Token('LPAREN', '(', line=711, col=11)
Token('ID', 'y', line=711, col=12)
Token('GT', '>', line=711, col=14)
Token('INT_LIT', '0', line=711, col=16)
Token('AND', '&&', line=711, col=18)
Token('ID', 'x', line=711, col=21)
Token('LT', '<', line=711, col=23)
Token('INT_LIT', '100', line=711, col=25)
Token('RPAREN', ')', line=711, col=28)
Token('LBRACE', '{', line=711, col=30)
Token('ID', 'y', line=712, col=9)
Token('DEC', '--', line=712, col=10)
Token('SEMI', ';', line=712, col=12)
Token('ID', 'x', line=713, col=9)
Token('INC', '++', line=713, col=10)
Token('SEMI', ';', line=713, col=12)
Token('IF', 'if', line=714, col=9)
Token('LPAREN', '(', line=714, col=12)
Token('ID', 'y', line=714, col=13)
Token('MOD', '%', line=714, col=15)
Token('INT_LIT', '2', line=714, col=17)
Token('EQ', '==', line=714, col=19)
Token('INT_LIT', '0', line=714, col=22)
Token('RPAREN', ')', line=714, col=23)
Token('LBRACE', '{', line=714, col=25)
Token('CONTINUE', 'continue', line=715, col=13)
Token('SEMI', ';', line=715, col=21)
Token('RBRACE', '}', line=716, col=9)
Token('IF', 'if', line=717, col=9)
Token('LPAREN', '(', line=717, col=12)
Token('ID', 'x', line=717, col=13)
Token('GT', '>', line=717, col=15)
Token('INT_LIT', '50', line=717, col=17)
Token('RPAREN', ')', line=717, col=19)
Token('LBRACE', '{', line=717, col=21)
Token('BREAK', 'break', line=718, col=13)
Token('SEMI', ';', line=718, col=18)
Token('RBRACE', '}', line=719, col=9)
Token('RBRACE', '}', line=720, col=5)
Token('T_INT', 'int', line=722, col=5)
Token('ID', 'result', line=722, col=9)
Token('ASSIGN', '=', line=722, col=16)
Token('ID', 'factorial', line=722, col=18)
Token('LPAREN', '(', line=722, col=27)
Token('INT_LIT', '5', line=722, col=28)
Token('RPAREN', ')', line=722, col=29)
Token('SEMI', ';', line=722, col=30)
Token('ID', 'Point', line=723, col=5)
Token('ID', 'p', line=723, col=11)
Token('SEMI', ';', line=723, col=12)
Token('ID', 'p', line=724, col=5)
Token('DOT', '.', line=724, col=6)
Token('ID', 'x', line=724, col=7)
Token('ASSIGN', '=', line=724, col=9)
Token('ID', 'result', line=724, col=11)
Token('SEMI', ';', line=724, col=17)
Token('ID', 'p', line=725, col=5)
Token('DOT', '.', line=725, col=6)
Token('ID', 'y', line=725, col=7)
Token('ASSIGN', '=', line=725, col=9)
Token('ID', 'counter', line=725, col=11)
Token('SEMI', ';', line=725, col=18)
Token('ID', 'bool', line=727, col=5)
Token('ID', 'flag', line=727, col=10)
Token('ASSIGN', '=', line=727, col=15)
Token('TRUE', 'true', line=727, col=17)
Token('SEMI', ';', line=727, col=21)
Token('IF', 'if', line=728, col=5)
Token('LPAREN', '(', line=728, col=8)
Token('NOT', '!', line=728, col=9)
Token('ID', 'flag', line=728, col=10)
Token('OR', '||', line=728, col=15)
Token('ID', 'result', line=728, col=18)
Token('EQ', '==', line=728, col=25)
Token('NULL_KW', 'null', line=728, col=28)
Token('RPAREN', ')', line=728, col=32)
Token('LBRACE', '{', line=728, col=34)
Token('RETURN', 'return', line=729, col=9)
Token('INT_LIT', '0', line=729, col=16)
Token('SEMI', ';', line=729, col=17)
Token('RBRACE', '}', line=730, col=5)
Token('T_INT', 'int', line=732, col=5)
Token('ID', 'shifted', line=732, col=9)
Token('ASSIGN', '=', line=732, col=17)
Token('ID', 'x', line=732, col=19)
Token('LSHIFT', '<<', line=732, col=21)
Token('INT_LIT', '2', line=732, col=24)
Token('SEMI', ';', line=732, col=25)
Token('ID', 'shifted', line=733, col=5)
Token('ASSIGN', '=', line=733, col=13)
Token('ID', 'shifted', line=733, col=15)
Token('RSHIFT', '>>', line=733, col=23)
Token('INT_LIT', '1', line=733, col=26)
Token('SEMI', ';', line=733, col=27)
Token('RETURN', 'return', line=735, col=5)
Token('ID', 'result', line=735, col=12)
Token('SEMI', ';', line=735, col=18)
Token('RBRACE', '}', line=736, col=1)
Token('STRUCT', 'struct', line=738, col=1)
Token('ID', 'Point', line=738, col=8)
Token('LBRACE', '{', line=738, col=14)
Token('T_INT', 'int', line=739, col=5)
Token('ID', 'x', line=739, col=9)
Token('SEMI', ';', line=739, col=10)
Token('T_INT', 'int', line=740, col=5)
Token('ID', 'y', line=740, col=9)
Token('SEMI', ';', line=740, col=10)
Token('RBRACE', '}', line=741, col=1)
Token('SEMI', ';', line=741, col=2)
Token('CONST', 'const', line=743, col=1)
Token('T_FLOAT', 'float', line=743, col=7)
Token('ID', 'PI', line=743, col=13)
Token('ASSIGN', '=', line=743, col=16)
Token('FLOAT_LIT', '3.14', line=743, col=18)
Token('SEMI', ';', line=743, col=22)
Token('T_INT', 'int', line=744, col=1)
Token('ID', 'counter', line=744, col=5)
Token('ASSIGN', '=', line=744, col=13)
Token('INT_LIT', '0', line=744, col=15)
Token('SEMI', ';', line=744, col=16)
Token('T_INT', 'int', line=745, col=1)
Token('ID', 'arr', line=745, col=5)
Token('LBRACKET', '[', line=745, col=8)
Token('INT_LIT', '10', line=745, col=9)
Token('RBRACKET', ']', line=745, col=11)
Token('SEMI', ';', line=745, col=12)
Token('T_VOID', 'void', line=747, col=1)
Token('ID', 'swap', line=747, col=6)
Token('LPAREN', '(', line=747, col=10)
Token('T_INT', 'int', line=747, col=11)
Token('ID', 'a', line=747, col=15)
Token('COMMA', ',', line=747, col=16)
Token('T_INT', 'int', line=747, col=18)
Token('ID', 'b', line=747, col=22)
Token('RPAREN', ')', line=747, col=23)
Token('LBRACE', '{', line=747, col=25)
Token('T_INT', 'int', line=748, col=5)
Token('ID', 'temp', line=748, col=9)
Token('ASSIGN', '=', line=748, col=14)
Token('ID', 'a', line=748, col=16)
Token('SEMI', ';', line=748, col=17)
Token('ID', 'a', line=749, col=5)
Token('ASSIGN', '=', line=749, col=7)
Token('ID', 'b', line=749, col=9)
Token('SEMI', ';', line=749, col=10)
Token('ID', 'b', line=750, col=5)
Token('ASSIGN', '=', line=750, col=7)
Token('ID', 'temp', line=750, col=9)
Token('SEMI', ';', line=750, col=13)
Token('RBRACE', '}', line=751, col=1)
Token('T_INT', 'int', line=753, col=1)
Token('ID', 'factorial', line=753, col=5)
Token('LPAREN', '(', line=753, col=14)
Token('T_INT', 'int', line=753, col=15)
Token('ID', 'n', line=753, col=19)
Token('RPAREN', ')', line=753, col=20)
Token('LBRACE', '{', line=753, col=22)
Token('IF', 'if', line=754, col=5)
Token('LPAREN', '(', line=754, col=8)
Token('ID', 'n', line=754, col=9)
Token('LEQ', '<=', line=754, col=11)
Token('INT_LIT', '1', line=754, col=14)
Token('RPAREN', ')', line=754, col=15)
Token('LBRACE', '{', line=754, col=17)
Token('RETURN', 'return', line=755, col=9)
Token('INT_LIT', '1', line=755, col=16)
Token('SEMI', ';', line=755, col=17)
Token('RBRACE', '}', line=756, col=5)
Token('RETURN', 'return', line=757, col=5)
Token('ID', 'n', line=757, col=12)
Token('TIMES', '*', line=757, col=14)
Token('ID', 'factorial', line=757, col=16)
Token('LPAREN', '(', line=757, col=25)
Token('ID', 'n', line=757, col=26)
Token('MINUS', '-', line=757, col=28)
Token('INT_LIT', '1', line=757, col=30)
Token('RPAREN', ')', line=757, col=31)
Token('SEMI', ';', line=757, col=32)
Token('RBRACE', '}', line=758, col=1)
Token('T_INT', 'int', line=760, col=1)
Token('ID', 'main', line=760, col=5)
Token('LPAREN', '(', line=760, col=9)
Token('RPAREN', ')', line=760, col=10)
Token('LBRACE', '{', line=760, col=12)
Token('T_INT', 'int', line=761, col=5)
Token('ID', 'x', line=761, col=9)
Token('ASSIGN', '=', line=761, col=11)
Token('HEX_LIT', '0xFF', line=761, col=13)
Token('SEMI', ';', line=761, col=17)
Token('T_INT', 'int', line=762, col=5)
Token('ID', 'y', line=762, col=9)
Token('ASSIGN', '=', line=762, col=11)
Token('INT_LIT', '42', line=762, col=13)
Token('SEMI', ';', line=762, col=15)
Token('T_FLOAT', 'float', line=763, col=5)
Token('ID', 'z', line=763, col=11)
Token('ASSIGN', '=', line=763, col=13)
Token('FLOAT_LIT', '1.5', line=763, col=15)
Token('SEMI', ';', line=763, col=18)
Token('FOR', 'for', line=765, col=5)
Token('LPAREN', '(', line=765, col=9)
Token('T_INT', 'int', line=765, col=10)
Token('ID', 'i', line=765, col=14)
Token('ASSIGN', '=', line=765, col=16)
Token('INT_LIT', '0', line=765, col=18)
Token('SEMI', ';', line=765, col=19)
